aisportsguru-mobile/aisportsguru-mobile/lib/purchases.ts(31,35): error TS2307: Cannot find module 'react-native-purchases' or its corresponding type declarations.
aisportsguru-mobile/aisportsguru-mobile/lib/purchases.ts(36,35): error TS2307: Cannot find module 'react-native-purchases' or its corresponding type declarations.
aisportsguru-mobile/aisportsguru-mobile/lib/session.tsx(2,26): error TS2307: Cannot find module '~/lib/supabase' or its corresponding type declarations.
aisportsguru-mobile/app.config.ts(1,33): error TS2307: Cannot find module '@expo/config' or its corresponding type declarations.
aisportsguru-mobile/App.tsx(2,30): error TS2307: Cannot find module 'react-native' or its corresponding type declarations.
aisportsguru-mobile/App.tsx(3,10): error TS2305: Module '"./src/lib/purchases"' has no exported member 'configurePurchases'.
aisportsguru-mobile/app/(auth)/sign-in.tsx(1,51): error TS2307: Cannot find module 'react-native' or its corresponding type declarations.
aisportsguru-mobile/app/(auth)/sign-in.tsx(2,24): error TS2307: Cannot find module 'expo-router' or its corresponding type declarations.
aisportsguru-mobile/app/(auth)/sign-up.tsx(1,51): error TS2307: Cannot find module 'react-native' or its corresponding type declarations.
aisportsguru-mobile/app/(auth)/sign-up.tsx(2,24): error TS2307: Cannot find module 'expo-router' or its corresponding type declarations.
aisportsguru-mobile/app/(dev)/api-check.tsx(2,40): error TS2307: Cannot find module 'react-native' or its corresponding type declarations.
aisportsguru-mobile/app/(dev)/rc-check.tsx(2,40): error TS2307: Cannot find module 'react-native' or its corresponding type declarations.
aisportsguru-mobile/app/(dev)/rc-check.tsx(3,23): error TS2307: Cannot find module 'react-native-purchases' or its corresponding type declarations.
aisportsguru-mobile/app/(dev)/rc-diagnostics.tsx(2,52): error TS2307: Cannot find module 'react-native' or its corresponding type declarations.
aisportsguru-mobile/app/(dev)/rc-diagnostics.tsx(3,52): error TS2307: Cannot find module 'react-native-purchases' or its corresponding type declarations.
aisportsguru-mobile/app/(dev)/rc-diagnostics.tsx(4,30): error TS2307: Cannot find module 'expo-application' or its corresponding type declarations.
aisportsguru-mobile/app/(dev)/rc-force-create.tsx(2,51): error TS2307: Cannot find module 'react-native' or its corresponding type declarations.
aisportsguru-mobile/app/(dev)/rc-force-create.tsx(3,28): error TS2307: Cannot find module 'expo-clipboard' or its corresponding type declarations.
aisportsguru-mobile/app/(dev)/rc-force-create.tsx(4,23): error TS2307: Cannot find module 'react-native-purchases' or its corresponding type declarations.
aisportsguru-mobile/app/(dev)/rc-user-id.tsx(2,45): error TS2307: Cannot find module 'react-native' or its corresponding type declarations.
aisportsguru-mobile/app/(dev)/rc-user-id.tsx(3,23): error TS2307: Cannot find module 'react-native-purchases' or its corresponding type declarations.
aisportsguru-mobile/app/(dev)/rc-user-id.tsx(4,28): error TS2307: Cannot find module 'expo-clipboard' or its corresponding type declarations.
aisportsguru-mobile/app/(modals)/_layout.tsx(1,23): error TS2307: Cannot find module 'expo-router' or its corresponding type declarations.
aisportsguru-mobile/app/(modals)/prediction/[id].tsx(2,94): error TS2307: Cannot find module 'react-native' or its corresponding type declarations.
aisportsguru-mobile/app/(modals)/prediction/[id].tsx(3,49): error TS2307: Cannot find module 'expo-router' or its corresponding type declarations.
aisportsguru-mobile/app/(modals)/prediction/[id].tsx(4,32): error TS2307: Cannot find module 'expo-linear-gradient' or its corresponding type declarations.
aisportsguru-mobile/app/(modals)/prediction/[id].tsx(5,10): error TS2305: Module '"../../../src/data/predictions"' has no exported member 'getPredictionById'.
aisportsguru-mobile/app/(modals)/prediction/[id].tsx(53,53): error TS2339: Property 'startTimeISO' does not exist on type 'Prediction'.
aisportsguru-mobile/app/(modals)/prediction/[id].tsx(58,110): error TS2339: Property 'value' does not exist on type 'Prediction'.
aisportsguru-mobile/app/(modals)/prediction/[id].tsx(66,34): error TS2339: Property 'confidence' does not exist on type 'Prediction'.
aisportsguru-mobile/app/(onboarding)/terms.tsx(2,66): error TS2307: Cannot find module 'react-native' or its corresponding type declarations.
